name;id;results;time
C1;0;16;25449
C1;1;16;38142
C1;2;16;26427
C1;3;16;22596
C1;4;16;42295
C2;0;2;114370
C2;1;2;117810
C2;2;2;126535
C2;3;2;144531
C2;4;2;162150
C3;0;265047;300006
C3;1;244217;300084
C3;2;238139;300008
C3;3;236593;300005
C3;4;240182;300002
F1;0;7;2795
F1;1;0;2995
F1;2;0;2469
F1;3;0;3264
F1;4;7;3090
F2;0;4;2782
F2;1;1;473
F2;2;1;339
F2;3;15;5417
F2;4;12;6945
F3;0;20;5399
F3;1;20;5193
F3;2;1;495
F3;3;85;6564
F3;4;20;4967
F4;0;5;3714
F4;1;47;4505
F4;2;5;4231
F4;3;5;5090
F4;4;47;4151
F5;0;45;2582
F5;1;49;2740
F5;2;49;2919
F5;3;43;2075
F5;4;25;1244
L1;0;3;506
L1;1;6;510
L1;2;2;383
L1;3;6;349
L1;4;6;89
L2;0;23;3482
L2;1;14;3074
L2;2;23;3503
L2;3;14;2805
L2;4;14;3308
L3;0;31;310
L3;1;29;177
L3;2;23;155
L3;3;59;337
L3;4;39;360
L4;0;46;3546
L4;1;46;3231
L4;2;51;3427
L4;3;77;3739
L4;4;46;3546
L5;0;87;11584
L5;1;37;3662
L5;2;131;16006
L5;3;56;6820
L5;4;87;11167
S1;0;9;634
S1;1;9;520
S1;2;9;652
S1;3;9;707
S1;4;14;592
S2;0;12;1709
S2;1;80;11523
S2;2;13;2144
S2;3;9;1699
S2;4;264;34446
S3;0;0;5674
S3;1;0;4367
S3;2;0;4450
S3;3;0;4298
S3;4;0;4537
S4;0;0;538
S4;1;0;3447
S4;2;0;3473
S4;3;8;3518
S4;4;8;3430
S5;0;0;4801
S5;1;0;4724
S5;2;0;4866
S5;3;0;4637
S5;4;0;4831
S6;0;2;93
S6;1;2;413
S6;2;2;88
S6;3;0;63
S6;4;2;369
S7;0;0;19
S7;1;0;7
S7;2;0;8
S7;3;0;4
S7;4;0;7
C1;0;16;19285
C1;1;16;19536
C1;2;16;20123
C1;3;16;20647
C1;4;16;20652
C2;0;2;87870
C2;1;2;101893
C2;2;2;114500
C2;3;2;118987
C2;4;2;185061
C3;0;293913;300003
C3;1;264923;300006
C3;2;254009;300003
C3;3;243468;300002
C3;4;227198;300006
F1;0;7;2545
F1;1;0;3360
F1;2;0;2918
F1;3;0;2395
F1;4;7;3525
F2;0;4;2592
F2;1;1;478
F2;2;1;402
F2;3;15;5419
F2;4;12;5991
F3;0;20;5704
F3;1;20;5792
F3;2;1;454
F3;3;85;5904
F3;4;20;6138
F4;0;5;4427
F4;1;47;4138
F4;2;5;4496
F4;3;5;5066
F4;4;47;4184
F5;0;45;1864
F5;1;49;2147
F5;2;49;2560
F5;3;43;1945
F5;4;25;993
L1;0;3;624
L1;1;6;609
L1;2;2;425
L1;3;6;464
L1;4;6;715
L2;0;23;4330
L2;1;14;2678
L2;2;23;4568
L2;3;14;3500
L2;4;14;2932
L3;0;31;310
L3;1;29;249
L3;2;23;273
L3;3;59;150
L3;4;39;377
L4;0;46;3287
L4;1;46;3735
L4;2;51;4325
L4;3;77;4166
L4;4;46;4385
L5;0;87;9480
L5;1;37;3870
L5;2;131;17429
L5;3;56;7059
L5;4;87;10147
S1;0;9;1085
S1;1;9;718
S1;2;9;681
S1;3;9;602
S1;4;14;949
S2;0;12;2310
S2;1;80;12874
S2;2;13;2588
S2;3;9;1883
S2;4;264;35822
S3;0;0;7250
S3;1;0;6528
S3;2;0;6653
S3;3;0;6402
S3;4;0;6008
S4;0;0;735
S4;1;0;4239
S4;2;0;3751
S4;3;8;4044
S4;4;8;3566
S5;0;0;5025
S5;1;0;4860
S5;2;0;4964
S5;3;0;4962
S5;4;0;4973
S6;0;2;89
S6;1;2;445
S6;2;2;80
S6;3;0;82
S6;4;2;379
S7;0;0;20
S7;1;0;8
S7;2;0;8
S7;3;0;4
S7;4;0;7
C1;0;16;19873
C1;1;16;20139
C1;2;16;20710
C1;3;16;20860
C1;4;16;21292
C2;0;2;90083
C2;1;2;103309
C2;2;2;117144
C2;3;2;117807
C2;4;2;130128
C3;0;268621;300004
C3;1;254166;300001
C3;2;249898;300002
C3;3;246078;300002
C3;4;249898;300007
F1;0;7;2892
F1;1;0;3503
F1;2;0;2991
F1;3;0;2873
F1;4;7;3565
F2;0;4;2534
F2;1;1;335
F2;2;1;480
F2;3;15;5365
F2;4;12;6905
F3;0;20;5647
F3;1;20;4286
F3;2;1;669
F3;3;85;5840
F3;4;20;5788
F4;0;5;4431
F4;1;47;4360
F4;2;5;4619
F4;3;5;4992
F4;4;47;4379
F5;0;45;2076
F5;1;49;2192
F5;2;49;2519
F5;3;43;1710
F5;4;25;1780
L1;0;3;336
L1;1;6;303
L1;2;2;187
L1;3;6;477
L1;4;6;454
L2;0;23;3804
L2;1;14;3245
L2;2;23;3458
L2;3;14;2555
L2;4;14;2162
L3;0;31;329
L3;1;29;268
L3;2;23;185
L3;3;59;293
L3;4;39;175
L4;0;46;3367
L4;1;46;3482
L4;2;51;3472
L4;3;77;3979
L4;4;46;3962
L5;0;87;11160
L5;1;37;3373
L5;2;131;17125
L5;3;56;6536
L5;4;87;9628
S1;0;9;869
S1;1;9;619
S1;2;9;1017
S1;3;9;947
S1;4;14;750
S2;0;12;2165
S2;1;80;12239
S2;2;13;2065
S2;3;9;1630
S2;4;264;31269
S3;0;0;4741
S3;1;0;4428
S3;2;0;4443
S3;3;0;4400
S3;4;0;4573
S4;0;0;575
S4;1;0;3520
S4;2;0;3644
S4;3;8;3370
S4;4;8;3509
S5;0;0;4865
S5;1;0;4741
S5;2;0;4892
S5;3;0;4744
S5;4;0;4963
S6;0;2;96
S6;1;2;438
S6;2;2;80
S6;3;0;78
S6;4;2;362
S7;0;0;18
S7;1;0;7
S7;2;0;7
S7;3;0;4
S7;4;0;7
C1;0;16;19673
C1;1;16;19600
C1;2;16;20159
C1;3;16;20452
C1;4;16;20949
C2;0;2;88168
C2;1;2;101321
C2;2;2;114317
C2;3;2;116748
C2;4;2;128679
C3;0;264881;300001
C3;1;221770;300004
C3;2;176041;300015
C3;3;172614;300007
C3;4;172323;300009
F1;0;7;5094
F1;1;0;4644
F1;2;0;4538
F1;3;0;3984
F1;4;7;3974
F2;0;4;3128
F2;1;1;464
F2;2;1;195
F2;3;15;6950
F2;4;12;10124
F3;0;20;6874
F3;1;20;6036
F3;2;1;573
F3;3;85;5582
F3;4;20;5308
F4;0;5;4365
F4;1;47;4049
F4;2;5;4331
F4;3;5;3517
F4;4;47;4396
F5;0;45;2289
F5;1;49;2286
F5;2;49;1976
F5;3;43;2269
F5;4;25;1405
L1;0;3;396
L1;1;6;579
L1;2;2;241
L1;3;6;321
L1;4;6;88
L2;0;23;3733
L2;1;14;2403
L2;2;23;3505
L2;3;14;2458
L2;4;14;3210
L3;0;31;132
L3;1;29;116
L3;2;23;189
L3;3;59;187
L3;4;39;273
L4;0;46;3401
L4;1;46;3687
L4;2;51;3495
L4;3;77;3943
L4;4;46;3708
L5;0;87;11913
L5;1;37;3403
L5;2;131;16948
L5;3;56;7567
L5;4;87;12667
S1;0;9;898
S1;1;9;682
S1;2;9;937
S1;3;9;748
S1;4;14;529
S2;0;12;2286
S2;1;80;12137
S2;2;13;2777
S2;3;9;1786
S2;4;264;34481
S3;0;0;7944
S3;1;0;6676
S3;2;0;6816
S3;3;0;6108
S3;4;0;6303
S4;0;0;861
S4;1;0;5979
S4;2;0;6292
S4;3;8;6413
S4;4;8;6194
S5;0;0;6606
S5;1;0;6553
S5;2;0;7633
S5;3;0;6834
S5;4;0;8005
S6;0;2;262
S6;1;2;580
S6;2;2;243
S6;3;0;165
S6;4;2;508
S7;0;0;23
S7;1;0;9
S7;2;0;21
S7;3;0;8
S7;4;0;20
