name;id;results;time
C1;0;16;17903
C1;1;16;22436
C1;2;16;16146
C1;3;16;16501
C1;4;16;19793
C2;0;2;64705
C2;1;2;73636
C2;2;2;86183
C2;3;2;93388
C2;4;2;103670
C3;0;335251;300003
C3;1;385578;280465
C3;2;385578;235254
C3;3;385578;230033
C3;4;385578;223184
F1;0;7;1528
F1;1;0;1417
F1;2;0;1330
F1;3;0;1343
F1;4;7;1455
F2;0;4;1985
F2;1;1;316
F2;2;1;100
F2;3;15;4198
F2;4;12;5163
F3;0;20;3439
F3;1;20;3628
F3;2;1;370
F3;3;85;3941
F3;4;20;3589
F4;0;5;3178
F4;1;47;3354
F4;2;5;3259
F4;3;5;3401
F4;4;47;3484
F5;0;45;1307
F5;1;49;1366
F5;2;49;1342
F5;3;43;1172
F5;4;25;935
L1;0;3;211
L1;1;6;234
L1;2;2;123
L1;3;6;245
L1;4;6;64
L2;0;23;1603
L2;1;14;1208
L2;2;23;1604
L2;3;14;1218
L2;4;14;1228
L3;0;31;179
L3;1;29;79
L3;2;23;148
L3;3;59;139
L3;4;39;137
L4;0;46;1624
L4;1;46;1701
L4;2;51;1661
L4;3;77;1647
L4;4;46;1586
L5;0;87;4968
L5;1;37;1611
L5;2;131;7604
L5;3;56;2785
L5;4;87;4809
S1;0;9;802
S1;1;9;793
S1;2;9;812
S1;3;9;806
S1;4;14;819
S2;0;12;1669
S2;1;80;7450
S2;2;13;1768
S2;3;9;972
S2;4;264;22873
S3;0;0;5051
S3;1;0;4077
S3;2;0;3933
S3;3;0;4076
S3;4;0;3894
S4;0;0;804
S4;1;0;3247
S4;2;0;4626
S4;3;8;3685
S4;4;8;4136
S5;0;0;4325
S5;1;0;4456
S5;2;0;4573
S5;3;0;4658
S5;4;0;4621
S6;0;2;83
S6;1;2;388
S6;2;2;76
S6;3;0;67
S6;4;2;336
S7;0;0;36
S7;1;0;12
S7;2;0;7
S7;3;0;4
S7;4;0;6
C1;0;16;16407
C1;1;16;16525
C1;2;16;16552
C1;3;16;16186
C1;4;16;16496
C2;0;2;65069
C2;1;2;69826
C2;2;2;78237
C2;3;2;83660
C2;4;2;92244
C3;0;385578;299023
C3;1;385578;270808
C3;2;385578;253557
C3;3;385578;232354
C3;4;385578;237629
F1;0;7;1477
F1;1;0;1343
F1;2;0;1439
F1;3;0;1332
F1;4;7;1396
F2;0;4;1935
F2;1;1;324
F2;2;1;240
F2;3;15;4058
F2;4;12;5179
F3;0;20;3643
F3;1;20;3627
F3;2;1;377
F3;3;85;4062
F3;4;20;3409
F4;0;5;3242
F4;1;47;3376
F4;2;5;3168
F4;3;5;3476
F4;4;47;3524
F5;0;45;1418
F5;1;49;2108
F5;2;49;1637
F5;3;43;1318
F5;4;25;832
L1;0;3;243
L1;1;6;272
L1;2;2;139
L1;3;6;262
L1;4;6;53
L2;0;23;1614
L2;1;14;1324
L2;2;23;1685
L2;3;14;1273
L2;4;14;1366
L3;0;31;92
L3;1;29;82
L3;2;23;131
L3;3;59;132
L3;4;39;116
L4;0;46;1605
L4;1;46;1613
L4;2;51;1711
L4;3;77;1714
L4;4;46;1687
L5;0;87;4984
L5;1;37;1697
L5;2;131;9447
L5;3;56;2976
L5;4;87;4883
S1;0;9;1445
S1;1;9;902
S1;2;9;1065
S1;3;9;866
S1;4;14;809
S2;0;12;1523
S2;1;80;7612
S2;2;13;1647
S2;3;9;1040
S2;4;264;25356
S3;0;0;4593
S3;1;0;4774
S3;2;0;4019
S3;3;0;4194
S3;4;0;4034
S4;0;0;827
S4;1;0;3354
S4;2;0;3128
S4;3;8;3670
S4;4;8;3782
S5;0;0;4422
S5;1;0;5168
S5;2;0;5271
S5;3;0;5523
S5;4;0;4457
S6;0;2;79
S6;1;2;398
S6;2;2;83
S6;3;0;58
S6;4;2;362
S7;0;0;15
S7;1;0;6
S7;2;0;6
S7;3;0;4
S7;4;0;6
C1;0;16;16392
C1;1;16;16672
C1;2;16;16555
C1;3;16;16260
C1;4;16;16136
C2;0;2;63441
C2;1;2;76065
C2;2;2;86164
C2;3;2;90627
C2;4;2;97673
C3;0;364127;300001
C3;1;385578;261324
C3;2;385578;232234
C3;3;385578;220947
C3;4;385578;268496
F1;0;7;1449
F1;1;0;1376
F1;2;0;1308
F1;3;0;1349
F1;4;7;1488
F2;0;4;1901
F2;1;1;288
F2;2;1;109
F2;3;15;4388
