name;id;results;time
C1;0;16;14337
C1;1;16;12896
C1;2;16;13254
C1;3;16;12989
C1;4;16;12901
C2;0;2;59259
C2;1;2;59634
C2;2;2;89456
C2;3;2;67504
C2;4;2;69706
C3;0;252583;300016
C3;1;258016;300004
C3;2;256438;300005
C3;3;259552;300004
C3;4;258016;300004
F1;0;7;2217
F1;1;0;2143
F1;2;0;2102
F1;3;0;2096
F1;4;7;2076
F2;0;4;2522
F2;1;1;1156
F2;2;1;1068
F2;3;15;4233
F2;4;12;5000
F3;0;20;4025
F3;1;20;3747
F3;2;1;1190
F3;3;85;4145
F3;4;20;3448
F4;0;5;4651
F4;1;47;5558
F4;2;5;5973
F4;3;5;4585
F4;4;47;5102
F5;0;45;1776
F5;1;49;1882
F5;2;49;1791
F5;3;43;1612
F5;4;25;1391
L1;0;3;1021
L1;1;6;1131
L1;2;2;966
L1;3;6;1076
L1;4;6;1027
L2;0;23;2502
L2;1;14;2083
L2;2;23;2277
L2;3;14;2161
L2;4;14;1974
L3;0;31;984
L3;1;29;895
L3;2;23;1012
L3;3;59;1065
L3;4;39;938
L4;0;46;2314
L4;1;46;2221
L4;2;51;2385
L4;3;77;2250
L4;4;46;2220
L5;0;87;4889
L5;1;37;2250
L5;2;131;6970
L5;3;56;3392
L5;4;87;4803
S1;0;9;1276
S1;1;9;1295
S1;2;9;1323
S1;3;9;1337
S1;4;14;1217
S2;0;12;2165
S2;1;80;6654
S2;2;13;2259
S2;3;9;1668
S2;4;264;17434
S3;0;0;4174
S3;1;0;4176
S3;2;0;4233
S3;3;0;4272
S3;4;0;4256
S4;0;0;1409
S4;1;0;3485
S4;2;0;3460
S4;3;8;3498
S4;4;8;3434
S5;0;0;4650
S5;1;0;4914
S5;2;0;4725
S5;3;0;4629
S5;4;0;4654
S6;0;2;934
S6;1;2;1594
S6;2;2;1328
S6;3;0;1354
S6;4;2;1448
S7;0;0;743
S7;1;0;776
S7;2;0;794
S7;3;0;779
S7;4;0;773
C1;0;16;13433
C1;1;16;13671
C1;2;16;13849
C1;3;16;13759
C1;4;16;13553
C2;0;2;60246
C2;1;2;61160
C2;2;2;60468
C2;3;2;72447
C2;4;2;69542
C3;0;239907;300004
C3;1;238224;300005
C3;2;250081;300005
C3;3;240182;300004
C3;4;234533;300004
F1;0;7;2311
F1;1;0;2236
F1;2;0;2529
F1;3;0;2270
F1;4;7;3817
F2;0;4;5320
F2;1;1;1217
